Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,43269.351563,43372.148438,42985.000000,43332.949219,43332.445313,242600
2022-12-06,43093.898438,43306.851563,43076.398438,43138.550781,43138.050781,379200
2022-12-07,43157.351563,43327.351563,42948.449219,43098.699219,43098.199219,242900
2022-12-08,43142.250000,43640.898438,43095.300781,43596.851563,43596.343750,355700
2022-12-09,43765.300781,43853.398438,43361.699219,43633.449219,43632.941406,443500
2022-12-12,43455.851563,43767.050781,43378.800781,43708.750000,43708.242188,234200
2022-12-13,43793.699219,43983.800781,43767.750000,43946.550781,43946.039063,277000
2022-12-14,44078.601563,44151.800781,43987.949219,44049.101563,44048.589844,349200
2022-12-15,43940.101563,44120.601563,43379.101563,43498.199219,43497.695313,421900
2022-12-16,43261.750000,43598.199219,43080.550781,43219.500000,43218.996094,275200
2022-12-19,43346.351563,43451.449219,43110.300781,43413.750000,43413.246094,175600
2022-12-20,43152.648438,43426.199219,42955.398438,43359.500000,43358.996094,182300
2022-12-21,43525.750000,43614.648438,42363.800781,42617.949219,42617.453125,279400
2022-12-22,42864.000000,42933.500000,42231.351563,42408.800781,42408.308594,344800
2022-12-23,41951.351563,42226.648438,41597.648438,41668.050781,41667.566406,332600
2022-12-26,null,null,null,null,null,null
2022-12-27,42827.750000,42927.199219,42394.148438,42859.500000,42859.000000,229600
2022-12-28,42733.601563,43034.949219,42694.851563,42827.699219,42827.203125,230500
2022-12-29,42684.898438,43498.050781,42489.800781,43252.351563,43251.847656,308300
2022-12-30,43401.699219,43422.949219,42833.101563,42986.449219,42985.949219,258700
2023-01-02,43038.250000,43382.750000,42961.750000,43203.101563,43203.101563,1798102100
2023-01-03,43151.449219,43482.800781,43148.449219,43425.250000,43425.250000,197000
2023-01-04,43417.500000,43578.398438,42858.648438,42958.800781,42958.800781,216800
2023-01-05,43073.050781,43137.550781,42298.601563,42608.699219,42608.699219,189100
2023-01-06,42649.699219,42685.898438,41877.000000,42188.800781,42188.800781,195100
2023-01-09,42404.851563,42716.800781,42186.550781,42582.750000,42582.750000,161800
2023-01-10,42642.000000,42674.250000,41835.750000,42014.750000,42014.750000,179300
2023-01-11,42071.851563,42318.000000,41729.000000,42232.699219,42232.699219,169800
2023-01-12,42238.500000,42343.500000,41742.949219,42082.250000,42082.250000,154100
2023-01-13,42171.250000,42453.949219,41885.601563,42371.250000,42371.250000,205500
2023-01-16,42622.500000,42715.648438,42066.550781,42167.550781,42167.550781,312300
2023-01-17,42241.199219,42383.800781,41861.101563,42235.050781,42235.050781,256300
2023-01-18,42271.800781,42555.898438,42119.648438,42458.000000,42458.000000,170500
2023-01-19,42416.300781,42506.250000,42234.898438,42328.851563,42328.851563,143400
2023-01-20,42516.050781,42709.199219,42366.148438,42506.800781,42506.800781,159100
2023-01-23,42891.449219,43005.851563,42727.699219,42821.250000,42821.250000,203600
2023-01-24,42994.449219,43078.898438,42615.648438,42733.449219,42733.449219,159500
2023-01-25,42703.601563,42733.050781,41540.300781,41647.648438,41647.648438,244700
2023-01-27,41382.351563,41417.898438,40148.800781,40345.300781,40345.300781,350800
2023-01-30,39856.148438,40789.550781,39419.800781,40387.449219,40387.449219,369900
2023-01-31,40563.851563,40811.648438,40167.699219,40655.050781,40655.050781,289900
2023-02-01,41115.000000,42015.648438,39490.500000,40513.000000,40513.000000,400100
2023-02-02,39943.351563,40757.601563,39761.449219,40669.300781,40669.300781,348500
2023-02-03,41019.351563,41539.949219,40609.750000,41499.699219,41499.699219,308800
2023-02-06,41530.148438,41724.500000,41261.199219,41374.648438,41374.648438,197800
2023-02-07,41513.101563,41630.750000,41095.101563,41490.949219,41490.949219,171900
2023-02-08,41542.050781,41791.949219,41403.050781,41537.648438,41537.648438,136500
2023-02-09,41634.000000,41634.000000,41252.949219,41554.300781,41554.300781,142900
2023-02-10,41452.398438,41678.898438,41424.898438,41559.398438,41559.398438,155000
2023-02-13,41563.500000,41662.550781,41157.898438,41282.199219,41282.199219,147000
2023-02-14,41410.449219,41718.000000,41195.750000,41648.351563,41648.351563,143100
2023-02-15,41674.601563,41795.449219,41455.601563,41731.050781,41731.050781,116300
